storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
AUTO PARTS PLUS,CarQuest,1000548,AIRPORT ROAD,BOTTLE CREEK,TC,0,BWI,6499467184,"-28.7798099517822,152.64729309082","-28.7798099517822,152.64729309082"
HAWTHORNE MACHINERY OF SAMOA,CarQuest,1001524,4 INDUSTRIAL PARK WAY,PAGO PAGO,AS,96799,AS ,6846994306,"-34.8415794372559,-55.9769096374512","-34.8415794372559,-55.9769096374512"
Advance Auto Parts,CarQuest,1001574,965 BOULEVARD CURÉ-LABELLE,LAVAL,QC,H7V 2V7,CAN,,"-73.7489594,45.5428738","-73.7489594,45.5428738"
MTL-LAVAL-CHOMEDEY QC,CarQuest,1001802,965 BOULEVARD CURÉ-LABELLE,LAVAL,QC,H7V 2V7,CAN,,"-73.7489594,45.5428738","-73.7489594,45.5428738"
"RAD AUTO WORKS, LIMITED",CarQuest,1001927,"BL 1, PT 1, ONIGBONGBO VILLAGE","LEKKI LAGOS, NIGERIA",-0,0,NG ,0,"6.49339389801025,3.72066807746887","6.49339389801025,3.72066807746887"
PALAU CARQUEST,CarQuest,1001845,P.O. BOX 605,"MALAKAL, KOROR",PW,96940,PW ,6804885575,"9.52998733520508,31.6554794311523","9.52998733520508,31.6554794311523"
CARQUEST,CarQuest,1000668,128 B NORTH MARINE CORPS DR,TAMUNING,GU,96913,GU ,6716494283,"13.4950304031372,144.787826538086","13.4950304031372,144.787826538086"
"ALL PARTS, INC.",CarQuest,1000496,504096 TUN SEGUNDO ST,SAIPAN,MP,96950-4096,MP ,6702352302,"15.1888246536255,145.753509521484","15.1888246536255,145.753509521484"
"ALL PARTS, INC. #2",CarQuest,1000497,504096 CHALAN PALE ARNOLD,GUALO RAI. SAIPAN,MP,96950-4096,MP ,6702352277,"15.1888246536255,145.753509521484","15.1888246536255,145.753509521484"
CARAVAN AUTO PARTS & REPAIR SHOP,CarQuest,1000642,1404 PINE PEACE,ST JOHN,VI,830,VI ,3407794800,"18.3384056091309,-64.7372665405273","18.3384056091309,-64.7372665405273"
AUTO PARTES BAJA - CHAPULTEPEC,CarQuest,1000528,BLVD LAZARO CARDENAS #281 PARQUE INDUSTRIAL,ENSENADA,BC,22880,MEX,(646) 182-1181,"20.04441,-102.71651","20.04441,-102.71651"
Advance Auto Parts,CarQuest,1001559,400 U.S. HWY 1792 S.,LONGWOOD,FL,32750,USA,,"28.694583,-81.32922","28.694583,-81.32922"
HAPPY LAND SHOPPING CENTER,CarQuest,1001514,BURAS HARDWARE & SUPPLY,BURAS,LA,70041,USA,5046576333,"29.3586597442627,-89.5322189331055","29.3586597442627,-89.5322189331055"
CASH AUTO SUPPLY,CarQuest,1000843,24524 HWY 190 / P.O.BOX 181,KROTZ SPRINGS,LA,70750,USA,3375663712,"30.5407600139307,-91.7796849929869","30.5407600139307,-91.7796849929869"
LOXLEY AUTO PARTS & HARDWARE,CarQuest,1001718,P.O. BOX 363 / 1051 N. HICKORY,LOXLEY,AL,36551,USA,2519645013,"30.6226635140622,-87.7530494064905","30.6226635140622,-87.7530494064905"
ALEX AUTO PARTES,CarQuest,1000492,AVENIDA SONORA #110,CANANEA,SO,84620,MEX,(645) 332-5081,"30.98093,-110.30211","30.98093,-110.30211"
BEARDSLEE AUTOMOTIVE AND SPL,CarQuest,1000577,MAIL TO:120 LENA DRIVE,CRANE,TX,79731,USA,4325582370,"31.429583,-102.464987","31.429583,-102.464987"
AUTO PARTES BAJA S.A DE C.V,CarQuest,1000532,BLVD ESTANCIA #179,FRACC ACAPULCO,BC,22890,MEX,,"31.84145,-116.60518","31.84145,-116.60518"
AUTO PARTES JOSE MONTOYA EXPORT,CarQuest,1000533,BOULEVARD ESTANCIA #179,FRACC ACAPULCO,BC,22890,MEX,,"31.84145,-116.60518","31.84145,-116.60518"
AUTO PARTES BAJA -9NA,CarQuest,1000531,CALLE NUEVE Y ALVARADO #901,ENSENADA,BC,22880,MEX,(646) 178-2554,"31.85336,-116.60777","31.85336,-116.60777"
