id,make,makefaceted,model,modelfaceted,product,productfaceted,year,yearfaceted,originalequipmentpart,originalequipmentpartfaceted,partnumber,partnumberfaceted,engineliters,enginecc,enginecylinder,engineblock,engineboreinch,engineboremetric,enginestrokeinch,engstrokemetric,engine,enginefaceted,imageprefix,numberofimages,imagesuffix
10000000,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000001,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000002,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G730,353202G730,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000003,Hyundai,Hyundai,Santa Fe,Santa Fe,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G730,353202G730,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000004,Hyundai,Hyundai,Sonata,Sonata,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2010,2010,353202G720,353202G720,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000005,Hyundai,Hyundai,Sonata,Sonata,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2011,2011,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000006,Hyundai,Hyundai,Sonata,Sonata,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2011,2011,353202G720,353202G720,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
10000007,Hyundai,Hyundai,Sonata,Sonata,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000008,Hyundai,Hyundai,Sonata,Sonata,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G720,353202G720,HPF-K10001,HPF-K10001,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,HPF-K10001,2,jpg
10000009,Hyundai,Hyundai,Sonata,Sonata,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2012,2012,353202G730,353202G730,HPF-K10001,HPF-K10001,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,HPF-K10001,2,jpg
