STORE_NAME,STORE_ADDR_LINE_1,STORE_ADDR_CITY_NAME,STORE_ADDR_STATE_CODE,STORE_ADDR_POSTAL_CODE,STORE_PHONE_NBR,STORE_COUNTRY_CODE,LAT,LNG
Advance Auto Parts,10218 SOUTHARD DRIVE,BELTSVILLE,MD,20705,,USA, ,
4 KORNERS AUTO PARTS,390 SS CAPTAIN GLOSTER,GLOSTER,MS,39638,6012259915,USA, ,
"9TH STREET PARTS, LLC",510 WEST NINTH STREET,MT. CARMEL,IL,62863,6184502999,USA, ,
A & D AUTO PARTS,810 WEST MAIN STREET,FAIRFIELD,IL,62837,6188427588,USA, ,
A & J AUTO PARTS,176 WEST ST,RUTLAND,VT,05701,8027755584,USA, ,
A & S AUTO PARTS INC,P.O. BOX B,ELKHORN CITY,KY,41522,6067544095,USA, ,
A AND A HARDWARE AND AUTO SUPPLY,15021 HWY M-28     PO BOX 49,BRUCE CROSSING,MI,49912,9068273944,USA, ,
A AND B MECHANICAL,400 PLYMOUTH STREET,WASHINGTON,NC,27889,2529751331,USA, ,
A M AUTO PARTS,44 MAIN STREET,SOURIS,PE,C0A 2B0,9026872844,CAN, ,
A1 AUTO PARTS,10859 HEBRON RD,BUCKEYE LAKE,OH,43008,7409280333,USA, ,
A1 AUTO PARTS AND MACHINE,3459 HWY 55 E,FALKVILLE,AL,35622,2567961103,USA, ,
AAA TRUCK AND AUTO PARTS,385 SPRINGLAKE HWY P O BOX1069,LITTLEFIELD,TX,79339,8063854720,USA, ,
Advance Auto Parts,3010 ANDERSON AVENUE,MANHATTAN,KS,66503,7855397419,USA, ,
Advance Auto Parts,5815 WEST 63RD STREET,CHICAGO,IL,60638,7735853500,USA, ,
Advance Auto Parts,221 SUMMERS DRIVE,ABBEVILLE,LA,70510,3378930150,USA, ,
Advance Auto Parts,204 N 4TH ST,ABBOTSFORD,WI,54405,7152234231,USA, ,
Advance Auto Parts,612 6TH AVENUE SW,ABERDEEN,SD,57401,6052250820,USA, ,
Advance Auto Parts,3501 LANCASTER-HUTCHINS ROAD,HUTCHUNS,TX,75141,9722844694,USA, ,
Advance Auto Parts,5690 WEST ALAMEDA,LAKEWOOD,CO,80226,3039367471,USA, ,
Advance Auto Parts,2605 NORTH WHITE SANDS BLVD,ALAMOGORDO,NM,88310,5754341003,USA, ,
Advance Auto Parts,2110 SANTIAM HWY SE,ALBANY,OR,97321,5419266051,USA, ,
Advance Auto Parts,297 WEST MAIN STREET,AMERICAN FORK,UT,84003,8017639640,USA, ,
Advance Auto Parts,105 GREENBRIER DEAR RD,ANNISTON,AL,36201,2562367864,USA, ,
Advance Auto Parts,315 STATE HWY 64,ANTIGO,WI,54409,7156234108,USA, ,
Advance Auto Parts,2391 HVILLE HIGHWAY,ARDEN,NC,28704,8286845531,USA, ,
Advance Auto Parts,1541 PATTON AVENUE,ASHEVILLE,NC,28806,8282535335,USA, ,
Advance Auto Parts,446 OPELIKA RD,AUBURN,AL,36830,3348217783,USA, ,
Advance Auto Parts,4515 FREDRICKSBURG RD. SUITE 3,BALCONES HEIGHTS,TX,78201,2103415541,USA, ,
Advance Auto Parts,720 BROADWAY,BANGOR,ME,04401,2079411490,USA, ,
Advance Auto Parts,1193 HAMMOND ST,BANGOR,ME,04401,2079411480,USA, ,
Advance Auto Parts,11206 AIRLINE HWY,BATON ROUGE,LA,70816,2252916888,USA, ,
Advance Auto Parts,103 S DEAN STREET,BAY CITY,MI,48706,9898922514,USA, ,
Advance Auto Parts,12041 DIXIE HWY,BIRCH RUN,MI,48415,9896249207,USA, ,
Advance Auto Parts,2601 G E ROAD,BLOOMINGTON,IL,61704,3096635533,USA, ,
Advance Auto Parts,1740 SCOTTDALE RD M139,BENTON HARBOR,MI,49022,2699267255,USA, ,
Advance Auto Parts,4379 W CHINDEN BLVD,BOISE,ID,83714,2083434941,USA, ,
Advance Auto Parts,1709 33RD ST,BOULDER,CO,80301,3034496300,USA, ,
Advance Auto Parts,1901 W STATE ST,BRISTOL,VA,24201,2766691141,USA, ,
Advance Auto Parts,1735 SOUTH F STREET,HARLINGEN,TX,78550,9564230240,USA, ,
