HAWTHORNE MACHINERY OF SAMOA,CarQuest,1001524,4 INDUSTRIAL PARK WAY,PAGO PAGO,AS,96799,6846994306,AS ,-34.8415794373,-55.9769096375,
Advance Auto Parts,CarQuest,1000146,1991 LAKEPOINT DR.,LEWISVILLE,TX,75057,9724599144,USA,0,0,"-122.44378670000003,45.5193915"
Advance Auto Parts,CarQuest,1000311,1865 N. MAIN ST.,TILLAMOOK,OR,97141,5038428241,USA,0,0,"-123.84364019999998,45.4698625"
Advance Auto Parts,CarQuest,1000102,509 N. MANGUM ST.,DURHAM,NC,27701,9196825781,USA,0,0,"-78.89785560000001,35.9991384"
Advance Auto Parts,CarQuest,1000047,305 E MAIN ST.,CARRBORO,NC,27510,9199672289,USA,0,0,"-79.06831319999998,35.9109728"
Advance Auto Parts,CarQuest,1000320,1184 W. MAIN ST.,WHITEWATER,WI,53190,2624580594,USA,0,0,"-80.77852919999998,41.2187339"
Advance Auto Parts,CarQuest,1000356,117 CHARLESTON HWY.,WEST COLUMBIA,SC,29169,8037966052,USA,0,0,"-81.07176040000002,33.98801890000001"
Advance Auto Parts,CarQuest,1000355,4709 BROAD RIVER RD.,COLUMBIA,SC,29210,8037986201,USA,0,0,"-81.12045219999999,34.0704157"
Advance Auto Parts,CarQuest,1000236,410 E. SIOUX AVE.,PIERRE,SD,57501,6052247374,USA,0,0,"-81.53731549999998,39.2665311"
Advance Auto Parts,CarQuest,1000071,120 WEST LIBERTY ST.,MEDINA,OH,44256,3307256608,USA,0,0,"-81.86496599999998,41.13880289999999"
Advance Auto Parts,CarQuest,1000317,3454 YOUNGSTOWN ROAD S.E.,WARREN,OH,44484,3303921548,USA,0,0,"-81.93756889999997,40.8001076"
Advance Auto Parts,CarQuest,1000228,1505 13TH ST.,PARKERSBURG,WV,26101,3044225456,USA,0,0,"-82.06231049999997,29.0552578"
Advance Auto Parts,CarQuest,1000202,3320 WEST 151ST ST.,ROSEMOUNT,MN,55068,6514231159,USA,0,0,"-82.50361509999999,40.7458576"
Advance Auto Parts,CarQuest,1000271,207 SOUTH MAIN ST.,RUSHVILLE,IN,46173,7659323917,USA,0,0,"-85.44517309999998,39.6059413"
Advance Auto Parts,CarQuest,1000331,210 NORTH BEVER ST.,WOOSTER,OH,44691,3302649748,USA,0,0,"-88.75297009999997,42.8352015"
Advance Auto Parts,CarQuest,1000166,619 S. DIAMOND ST.,MANSFIELD,OH,44907,4195248866,USA,0,0,"-89.31067890000003,43.0707123"
Advance Auto Parts,CarQuest,1000076,756 WEST POPLAR AVE.,COLLIERVILLE,TN,38017,9018617192,USA,0,0,"-89.68711569999999,35.046592"
Advance Auto Parts,CarQuest,1000291,332 S. BLACK RIVER ST.,SPARTA,WI,54656,6082693195,USA,0,0,"-90.8211235,43.9410927"
Advance Auto Parts,CarQuest,1000214,5308 S.E. ABSHIRE BLVD.,BELLEVIEW,FL,34420,3522459144,USA,0,0,"-92.80812530000003,45.0369533"
Advance Auto Parts,CarQuest,1000203,6118 OSGOOD AVE. N.,STILLWATER,MN,55082,6514395556,USA,0,0,"-93.13329620000002,44.7291895"
Advance Auto Parts,CarQuest,1000163,1910 S. STOUGHTON RD.,MADISON,WI,53716,6082240213,USA,0,0,"-96.96920549999999,33.0132333"
Advance Auto Parts,CarQuest,1000129,21325 S.E. STARK ST.,GRESHAM,OR,97030,5036657111,USA,0,0,"-122.44378670000003,45.5193915"
Advance Auto Parts,CarQuest,1000378,6701 S. POTOMAC ST.,CENTENNIAL,CO,80112,,USA,0,0,"-96.93257059999996,32.8101815"
Advance Auto Parts,CarQuest,1000392,1120 EAST IRVING BLVD.,IRVING,TX,75060,9725793430,USA,0,0,"-122.43572499999999,47.12356399999999"
Advance Auto Parts,CarQuest,1000471,14620 PACIFIC AVE. S.,PARKLAND,WA,98444,2537197026,USA,0,0,"-97.21173950000002,38.3596543"
ABSOLUTE AG SUPPLY,CarQuest,1000475,74851 RICHLAND RD.,MASSENA,IA,50853,7127793623,USA,0,0,"-104.83176650000001,39.5944401"
AG POWER INC,CarQuest,1000482,603 ORCHARD DR.,HILLSBORO,KS,67063,6209473944,USA,0,0,"-94.7619166,41.2577624"
ALEX AUTO PARTES,CarQuest,1000492,AVENIDA SONORA #110,CANANEA,SO,84620,(645) 332-5081,MEX,0,0,"-95.98629399999999,30.4879786"
ANDERSON AUTOMOTIVE SPLY.,CarQuest,1000503,151 MAIN ST.,ANDERSON,TX,77830,9368732913,USA,0,0,"-110.3012415,30.98402699999999"
AUTO MART AUTO & OUTDOOR EQUIP.,CarQuest,1000527,804 W BANKHEAD ST.,NEW ALBANY,MS,38652,6625342258,USA,0,0,"-89.0293208,34.5042082"
AUTO PARTES BAJA - CHAPULTEPEC,CarQuest,1000528,BLVD LAZARO CARDENAS #281 PARQUE INDUSTRIAL,ENSENADA,BC,22880,(646) 182-1181,MEX,0,0,"-116.60978599999999,31.835064"
AUTO PARTES BAJA - DELANTE,CarQuest,1000529,AV DELANTE #109-A,ENSENADA,BC,22880,(646) 176-3550,MEX,0,0,"-116.60326759999998,31.851295"
AUTO PARTES BAJA - MEXICO,CarQuest,1000530,AV MEXICO Y  PRIMER AYUNTAMIENTO #162,ENSENADA,BC,22880,(646) 173-4411,MEX,0,0,"-116.58644429999998,31.8617649"
AUTO PARTES BAJA -9NA,CarQuest,1000531,CALLE NUEVE Y ALVARADO #901,ENSENADA,BC,22880,(646) 178-2554,MEX,0,0,"-116.59784560000003,31.8545256"
BALLARD PARTS SERVICE COMPANY,CarQuest,1000570,1188 JOHN C. CALHOUN DR.,ORANGEBURG,SC,29115,8035341151,USA,0,0,"-80.86463200000003,33.4859036"
BEARDSLEE AUTOMOTIVE AND SPL,CarQuest,1000577,MAIL TO:120 LENA DRIVE,CRANE,TX,79731,4325582370,USA,0,0,"-102.35567209999999,31.3887692"
CARQUEST,CarQuest,1000697,256 N. MAIN ST.,SPARTA,NC,28675,3363725545,USA,0,0,"-81.12396000000001,36.5081961"
CARQUEST,CarQuest,1000699,900 S COUNCIL ST.,ATTICA,IN,47918,7657626701,USA,0,0,"-87.24873359999998,40.2846802"
CARQUEST,CarQuest,1000708,"2051 S ""E"" ST.",BROKEN BOW,NE,68822,3088722473,USA,0,0,"-99.64122429999998,41.401787"
CARQUEST,CarQuest,1000716,1930 WEST VALLEY BLVD.,COLTON,CA,92324,8446007278,USA,0,0,"-117.35766160000003,34.0697665"
CARQUEST,CarQuest,1000721,901 MERRITT BLVD.,BALTIMORE,MD,21222,(410) 488-1900,USA,0,0,"-76.64396440000002,39.3119983"
CARQUEST,CarQuest,1000753,2631 PENNSYLVANIA AVE.,BALTIMORE,MD,21217,4106690800,USA,0,0,"-76.5053934,39.2856896"
CARQUEST,CarQuest,1000782,630 E. MOUNTAIN PARKWAY RD.,SALYERSVILLE,KY,41465,6063496141,USA,0,0,"-123.4186348,45.0981223"
CARQUEST,CarQuest,1000786,1A MAIN ST.,SHELBURNE FALLS,MA,1370,4136259702,USA,0,0,"-72.73731350000003,42.6037635"
CARQUEST,CarQuest,1000787,1233 WEST MAIN ST.,SHERIDAN,OR,97378,5038434486,USA,0,0,"-83.03995550000002,37.7378472"
CARQUEST,CarQuest,1000790,93 N. MAIN ST.,SOUTH DEERFIELD,MA,1373,4136652622,USA,0,0,"-72.60497580000003,42.4813938"
CARQUEST,CarQuest,1000812,8450-A W. WINDSOR BLVD.,WINDSOR,VA,23487,7572424600,USA,0,0,"-76.74773720000002,36.8107281"
"CLARENDON AUTO PARTS, INC",CarQuest,1000865,511 S. MILL ST.,MANNING,SC,29102,8034358888,USA,0,0,"-80.21274160000002,33.6869862"
CARQUEST,CarQuest,1000940,4505 OLD SEWARD HWY.,ANCHORAGE,AK,99503,9075633126,USA,0,0,"-149.8673228,61.17952009999999"
CARQUEST,CarQuest,1000952,294 YONGE ST.,BARRIE,ON,L4N 4C7,7057257393,CAN,0,0,"-79.67121159999999,44.3702115"
CARQUEST,CarQuest,1000980,221 W. GROVE ST.,CALEDONIA,MN,55921,5077243383,USA,0,0,"-64.7040356,46.1085599"
CARQUEST,CarQuest,1001008,9070 MARSHALL RD.,CRANBERRY TWP,PA,16066-3606,7247764871,USA,0,0,"-79.8871259,43.6488111"
CARQUEST,CarQuest,1001022,457 ADELARD-SAVOIE BLVD UNIT #,DIEPPE,NB,E1A 7E7,5068543500,CAN,0,0,"-109.68113900000003,48.553172"
CARQUEST,CarQuest,1001028,9850 INDIANAPOLIS BLVD.,HIGHLAND,IN,46322,2199619535,USA,0,0,"-87.4740119,41.5668496"
CARQUEST,CarQuest,1001049,350 EAST RUSSEL ST.,FAYETTEVILLE,NC,28301,9104832626,USA,0,0,"-80.09975170000001,40.704859"
CARQUEST,CarQuest,1001062,334 GUELPH ST.,GEORGETOWN,ON,L7G 4B5,9058775161,CAN,0,0,"-91.4990436,43.6333969"
CARQUEST,CarQuest,1001079,101 SECOND ST.,HAVRE,MT,59501,4062652231,USA,0,0,"-78.86918300000002,35.046691"
CARQUEST,CarQuest,1001083,235 A SW OAK ST.,HILLSBORO,OR,97123,5036482196,USA,0,0,"-99.07987430000003,40.69729239999999"
CARQUEST,CarQuest,1001093,"2119 AVENUE ""A""",KEARNEY,NE,68847,3082372247,USA,0,0,"-122.99199699999997,45.5191263"
CARQUEST,CarQuest,1001100,901 MONITOR ST.,LA CROSSE,WI,54603,6087828180,USA,0,0,"-91.2434599,43.8290038"
CARQUEST,CarQuest,1001101,9109 W. OGDEN AVE.,BROOKFIELD,IL,60513,7083542195,USA,0,0,"-75.55359829999998,39.7010036"
